181922,zain,Foss,08/10/1996,IMT2424,database,2018,Spring,Deepti Mishra,10.0,A
181922,zain,Foss,08/10/1996,IMT2423,programmering for web 2,2018,Spring,Aland Mendoza,10.0,A
181922,zain,Foss,08/10/1996,IMT2422,datamodelering,2018,Spring,Deepti Mishra,10.0,A
181922,zain,Foss,08/10/1996,IMT2421,systemutvikling,2018,Spring,Deepti Mishra,10.0,E
181923,Olav,Foss,08/10/1996,IMT2425,mathforprog,2018,Spring,Deepti Mishra,10.0,B
181923,Olav,Foss,08/10/1996,IMT2322,programmering for web 1,2018,Spring,Eivind Kolloen,10.0,A
181921,zohaib,Foss,08/10/1996,IMT2425,mathforprog,2018,Spring,Deepti Mishra,10.0,F
181921,zohaib,Foss,08/10/1996,IMT2422,datamodelering,2018,Spring,Deepti Mishra,10.0,C
181921,zohaib,Foss,08/10/1996,IMT2423,programmering for web 2,2018,Spring,Aland Mendoza,10.0,B
181921,zohaib,Foss,08/10/1996,IMT2424,database,2018,Spring,Deepti Mishra,10.0,E
